time,order_parameter_c,top,total_free_energy
140.26540301418,1930.9435443109,48.164481169705,13.696132962885
140.65126881167,1930.9881767095,48.162997954098,13.633030025115
141.07572118891,1931.0107660113,48.161427112276,13.599891629485
141.54261880387,1931.0457395356,48.159785320397,13.567891670876
142.05620618032,1931.0609044952,48.158093011479,13.527852221819
142.51843481913,1931.1394527827,48.156673291128,13.385873347202
142.93444059406,1931.1190562529,48.155476218706,13.314538398636
143.3088457915,1931.0752887062,48.154459389073,13.291400580859
143.64581046919,1931.0716264075,48.153588444137,13.274143951579
143.94907867912,1931.0690664285,48.15283630795,13.26257977966
144.22202006805,1931.0683258631,48.152181908392,13.253980877084
144.52225559587,1931.0680458368,48.151483154373,13.245976902738
144.85251467648,1931.0679399519,48.150735909452,13.23849159001
145.21579966515,1931.0678999142,48.149934912447,13.23146893701
145.61541315268,1931.0678847749,48.149073477022,13.224875824982
146.05498798897,1931.0678790504,48.14814324468,13.218699453953
146.53852030888,1931.0678768858,48.147133990876,13.2129444832
147.07040586079,1931.0678760673,48.146033466773,13.207631429353
147.65547996789,1931.0678757578,48.144827221525,13.20279696507
148.2990614857,1931.0678756408,48.143498300524,13.198496810338
148.87828485173,1931.0678756069,48.142295585821,13.195408708768
149.39958588115,1931.0678755971,48.141204533914,13.193190818401
149.86875680763,1931.0678755943,48.140213506305,13.191612556223
150.38484482676,1931.0678755932,48.139111222396,13.190308855638
150.95254164781,1931.0678755928,48.137881347841,13.189382660534
151.57700815096,1931.0678755926,48.136503922799,13.188977640043
152.26392130442,1931.0678755925,48.134954035349,13.189303034374
153.01952577323,1931.0678755925,48.133199898145,13.190679451043
153.69956979516,1931.0678755925,48.131570181518,13.189026004311
154.31160941489,1931.0678755925,48.130055932118,13.192214482391
154.86244507265,1931.0678755925,48.128649552258,13.196173395167
155.35819716464,1931.0678755925,48.127344232508,13.200684343932
155.90352446582,1931.0678755925,48.125859713036,13.206790669765
156.50338449713,1931.0678755925,48.124159895679,13.205180695328
157.16323053156,1931.0678755925,48.122201329187,13.211485313062
157.88906116944,1931.0678755925,48.119923410704,13.221854044297
158.6874748711,1931.0678755925,48.117258834379,13.230436950826
159.56572994293,1931.0678755925,48.114134912767,13.235704896468
160.53181052194,1931.0678755925,48.11049350371,13.237801107797
161.59449915886,1931.0678755925,48.106310432606,13.237532916465
162.76345665946,1931.0678755925,48.10160842812,13.235623451375
164.04930991013,1931.0678755925,48.096455657892,13.232618789365
165.46374848586,1931.0678755925,48.090950902614,13.229024291952
167.01963091917,1931.0678755925,48.085204432307,13.225341204158
168.73110159581,1931.0678755925,48.079323791394,13.221978917645
170.61371934011,1931.0678755925,48.073407267972,13.219165524214
172.68459885884,1931.0678755925,48.067541619039,13.216947072468
174.96256632944,1931.0678755925,48.06179966961,13.215254168096
177.46833054711,1931.0678755925,48.056236842349,13.213977357742
180.22467118654,1931.0678755925,48.050889129217,13.213016307963
183.25664588991,1931.0678755925,48.045775338865,13.212297958596
186.59181806363,1931.0678755925,48.040903913992,13.211775169492
190.26050745471,1931.0678755925,48.036281684202,13.211418820898
194.2960657849,1931.0678755925,48.031920833808,13.211210327466
198.73517994811,1931.0678755925,48.027841588219,13.211136093582
203.61820552764,1931.0678755925,48.024070472283,13.211183480487
208.98953366513,1931.0678755925,48.020635845601,13.211338033744
214.89799461636,1931.0678755925,48.017562905386,13.211582114085
221.39730166272,1931.0678755924,48.014869687729,13.211894984652
228.54653941371,1931.0678755924,48.012564588917,13.212254052551
236.4107009398,1931.0678755924,48.010645230083,13.21263670732
245.0612786185,1931.0678755924,48.009098289394,13.213022183612
254.57691406507,1931.0678755924,48.007900049358,13.213393036962
265.0441130563,1931.0678755924,48.007017587328,13.213736034877
274.4645921484,1931.0678755924,48.006504334927,13.213990894656
282.9430233313,1931.0678755924,48.006204820083,13.214182153345
290.5736113959,1931.0678755924,48.00603001996,13.214327923599
298.96725826697,1931.0678755924,48.00591093549,13.214464242353
308.20026982514,1931.0678755924,48.005842320855,13.214590074574
318.35658253913,1931.0678755924,48.005818448396,13.214704598923
329.52852652451,1931.0678755924,48.005832685574,13.214807334315
341.81766490844,1931.0678755924,48.0058775992,13.214898180411
355.33571713076,1931.0678755924,48.005945321659,13.214977404948
370.20557457531,1931.0678755924,48.006028033879,13.21504559444
386.56241776432,1931.0678755924,48.00611846406,13.215103580883
404.55494527223,1931.0678755924,48.006210321684,13.215152356839
424.34672553092,1931.0678755924,48.006298605161,13.215192990896
442.15932776375,1931.0678755924,48.006366132396,13.215220996
458.1906697733,1931.0678755924,48.006417802162,13.215241050659
472.61887758189,1931.0678755924,48.006457686142,13.215255912532
488.48990617134,1931.0678755924,48.006495305401,13.215269577115
505.94803761973,1931.0678755924,48.006530289558,13.215282054823
525.15198221296,1931.0678755924,48.006562364065,13.215293343435
546.27632126552,1931.0678755924,48.006591354586,13.215303447968
569.51309422334,1931.0678755924,48.006617183735,13.215312387829
595.07354447693,1931.0678755924,48.006639862134,13.215320198431
623.19003975588,1931.0678755924,48.006659475553,13.215326930242
654.11818456273,1931.0678755924,48.006676170244,13.215332646707
688.13914385027,1931.0678755924,48.006690138548,13.215337421782
695.79385968996,1931.0678755924,48.006693689511,13.215338634689
697.51617075389,1931.0678755924,48.006694717626,13.21533898568


